Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
Journal of Intelligent Systems,J INTELL SYST,0334-1860,2191-026X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",644,NA,0.37,55.82%,NA,NA,NA,NA,NA,139/190,Q3,27.11,0.001,0.119,0.19,NA,NA,Q3,75,100%,2.7,5.9,75
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,1793-6403,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",640,1.007,0.31,3.67%,135/145,0.929,Q4,0.979,0.125,152/190,Q4,20.26,0,0.104,0.144,7.24,Q4,Q4,72,100%,5.7,7.2,72
IET Networks,IET NETW,2047-4954,2047-4962,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",597,NA,0.58,22.88%,NA,NA,NA,NA,NA,133/246,Q3,46.14,0.001,0.148,0.356,NA,NA,Q2,25,96%,3.5,6,24
Artificial Intelligence and Law,ARTIF INTELL LAW,0924-8463,1572-8382,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",591,2.723,1.76,33.8%,85/145,3.747,Q2,2.404,0.125,24/190,Q1,87.63,0.001,0.229,1.235,41.72,Q3,Q2,24,87.5%,5,5.8,21
Foundations and Trends in Information Retrieval,FOUND TRENDS INF RET,1554-0669,1554-0677,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",589,13.286,3.57,0%,3/164,11.111,Q1,13,0,2/246,Q1,99.39,0.001,0.124,3.389,98.48,Q1,Q1,3,100%,10.7,8.1,3
Journal of Internet Services and Applications,J INTERNET SERV APPL,1867-4828,1869-0238,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",586,NA,0.97,100%,NA,NA,NA,NA,NA,70/246,Q2,71.75,0,0.104,0.631,NA,NA,Q1,14,92.86%,6.3,5.8,13
IEEE Solid-State Circuits Letters,IEEE SOLID-ST CIRC L,NA,2573-9603,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - ESCI",579,NA,0.4,8.59%,NA,NA,NA,NA,NA,45/62,Q3,28.23,0.002,0.453,0.804,NA,NA,Q1,42,100%,2.2,4.2,42
Traitement du Signal,TRAIT SIGNAL,0765-0019,1958-5608,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",564,2.299,0.45,1.02%,99/145,1.944,Q3,1.866,0.266,121/190,Q3,36.58,0,0.1,0.198,32.07,Q3,Q4,199,98.99%,2,4.9,197
IEEE Computer Architecture Letters,IEEE COMPUT ARCHIT L,1556-6056,1556-6064,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",562,2.118,0.47,9.3%,36/54,1.68,Q3,2.024,0.205,42/62,Q3,33.06,0.001,0.164,0.367,34.26,Q3,Q3,44,100%,4.1,4.2,44
Optical Switching and Networking,OPT SWITCH NETW,1573-4277,1872-9770,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",561,1.828,0.75,10.43%,129/164,1.941,Q4,1.552,0.214,105/246,Q2,57.52,0.001,0.14,0.339,21.65,Q4,Q4,28,92.86%,4,6,26
International Journal of Data Science and Analytics,INT J DATA SCI ANAL,2364-415X,2364-4168,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",560,NA,0.51,24.84%,NA,NA,NA,NA,NA,111/190,Q3,41.84,0.001,0.208,NA,NA,NA,NA,60,91.67%,3.2,7,55
Journal of Ambient Intelligence and Smart Environments,J AMB INTEL SMART EN,1876-1364,1876-1372,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",554,2.759,0.48,3.57%,84/145,2.168,Q3,2.31,0.385,115/190,Q3,39.74,0,0.098,0.278,42.41,Q3,Q4,26,100%,4.6,6.3,26
AI COMMUNICATIONS,AI COMMUN,0921-7126,1875-8452,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",553,1.029,0.16,0%,132/145,1.524,Q4,0.914,0.375,171/190,Q4,10.26,0,0.099,0.334,9.31,Q4,Q4,16,100%,7.7,6.1,16
International Journal of Computational Intelligence and Applications,INT J COMPUT INTELL,1469-0268,1757-5885,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",551,NA,0.25,1.2%,NA,NA,NA,NA,NA,160/190,Q4,16.05,0,0.087,0.326,NA,NA,Q2,25,100%,5.3,6.5,25
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,1542-3980,1542-3999,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",551,0.78,0.47,0%,140/145,0.594,Q4,0.679,0.143,119/190,Q3,37.63,0,0.074,0.129,3.79,Q4,Q4,56,100%,10.1,5.9,56
TEM Journal-Technology Education Management Informatics,TEM J,2217-8309,2217-8333,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",551,NA,0.18,57.76%,NA,NA,NA,NA,NA,224/246,Q4,9.15,0.001,0.131,0.085,NA,NA,Q3,251,96.41%,2.5,5.7,242
Patterns,PATTERNS,2666-3899,2666-3899,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",549,NA,0.8,96.84%,NA,NA,NA,NA,NA,73/190,Q2,61.84,0.001,0.211,1.398,NA,NA,Q1,116,87.07%,1.3,4.7,101
ACM Transactions on Storage,ACM T STORAGE,1553-3077,1553-3093,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",548,1.229,0.45,1.33%,49/54,1.705,Q3,1.125,0.185,43/62,Q3,31.45,0.001,0.121,0.426,10.19,Q4,Q3,27,100%,6.9,7,27
Kunstliche Intelligenz,KUNSTL INTELL,0933-1875,1610-1987,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",544,NA,0.29,33.9%,NA,NA,NA,NA,NA,154/190,Q4,19.21,0.001,0.213,0.543,NA,NA,Q1,32,100%,4.5,7.1,32
International Journal of Sensor Networks,INT J SENS NETW,1748-1279,1748-1287,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",542,1.264,0.34,0.47%,145/164,1.011,Q4,0.786,0.183,184/246,Q3,25.41,0,0.087,0.121,11.89,Q4,Q4,71,98.59%,4.3,5.3,70
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,1064-2307,1555-6530,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",542,0.722,0.15,0%,141/145,0.592,Q4,0.463,0.06,174/190,Q4,8.68,0,0.089,0.11,3.1,Q4,Q4,83,98.8%,7,13,82
ACM Transactions on Management Information Systems,ACM TRANS MANAG INF,2158-656X,2158-6578,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",539,NA,0.87,0%,NA,NA,NA,NA,NA,85/246,Q2,65.65,0.001,0.14,0.796,NA,NA,Q1,35,100%,5.2,6.7,35
Cybernetics and Information Technologies,CYBERN INF TECHNOL,1311-9702,1314-4081,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",536,NA,0.3,100%,NA,NA,NA,NA,NA,193/246,Q4,21.75,0,0.079,0.127,NA,NA,Q3,45,97.78%,5,6.7,44
Journal on Multimodal User Interfaces,J MULTIMODAL USER IN,1783-7677,1783-8738,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",535,1.694,0.32,25.25%,115/145,2.201,Q3,1.625,0.444,147/190,Q3,22.89,0.001,0.126,0.43,21.03,Q4,Q3,27,100%,5.4,9.3,27
Genetic Programming and Evolvable Machines,GENET PROGRAM EVOL M,1389-2576,1573-7632,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",515,2.522,0.55,27.54%,92/145,2.194,Q3,2.239,0.174,102/190,Q3,46.58,0,0.1,0.53,36.9,Q3,Q3,23,95.65%,8,9.9,22
Journal of Advanced Computational Intelligence and Intelligent Informatics,J ADV COMPUT INTELL,1343-0130,1883-8014,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",513,NA,0.08,71.96%,NA,NA,NA,NA,NA,188/190,Q4,1.32,0,0.076,0.059,NA,NA,Q4,84,100%,6,6.8,84
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,0267-6192,NA,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",509,4.397,0.6,47.83%,13/54,1.99,Q3,4.231,0.512,35/62,Q3,44.35,0,0.088,0.218,76.85,Q1,Q4,129,97.67%,2.1,5,126
EURASIP Journal on Information Security,EURASIP J INF SECUR,2510-523X,2510-523X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",507,NA,0.8,100%,NA,NA,NA,NA,NA,99/246,Q2,59.96,0,0.093,0.519,NA,NA,Q1,12,91.67%,5.9,4.5,11
International Journal of Intelligent Computing and Cybernetics,INT J INTELL COMPUT,1756-378X,1756-3798,"COMPUTER SCIENCE, CYBERNETICS - ESCI",497,NA,0.31,0%,NA,NA,NA,NA,NA,22/32,Q3,32.81,0,0.053,0.192,NA,NA,Q3,61,96.72%,3.8,4.1,59
MODELING IDENTIFICATION AND CONTROL,MODEL IDENT CONTROL,0332-7353,1890-1328,"COMPUTER SCIENCE, CYBERNETICS - SCIE",485,1.091,0.14,100%,22/24,1.056,Q4,1.091,0.083,29/32,Q4,10.94,0,0.03,0.167,10.42,Q4,Q4,12,100%,13,8.5,12
Frontiers in Artificial Intelligence,FRONT ARTIF INTELL,NA,2624-8212,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",483,NA,0.55,98.73%,NA,NA,NA,NA,NA,102/190,Q3,46.58,0.001,0.167,NA,NA,NA,NA,193,87.05%,1.5,5.7,168
ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,1936-7406,1936-7414,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",479,2.837,0.83,0%,25/54,2.39,Q3,2.673,0.056,23/62,Q2,63.71,0.001,0.117,0.487,54.63,Q2,Q3,18,100%,4.1,5.6,18
Computer Science and Information Systems,COMPUT SCI INF SYST,1820-0214,1820-0214,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",455,1.17,0.34,100%,146/164,0.922,Q4,0.83,0.343,184/246,Q3,25.41,0,0.051,0.115,11.28,Q4,Q4,67,98.51%,6.1,6.7,66
Big Data and Cognitive Computing,BIG DATA COGN COMPUT,NA,2504-2289,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",447,NA,0.64,96.47%,NA,NA,NA,NA,NA,87/190,Q2,54.47,0.001,0.131,NA,NA,NA,NA,79,92.41%,2.3,4.6,73
Multimodal Technologies and Interaction,MULTIMODAL TECHNOLOG,NA,2414-4088,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",442,NA,0.35,97.11%,NA,NA,NA,NA,NA,142/190,Q3,25.53,0.001,0.175,NA,NA,NA,NA,81,90.12%,2.4,6.9,73
CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE,CAN J ELECT COMPUT E,0840-8688,0840-8688,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",441,1.606,0.38,13.64%,42/54,1.634,Q4,1.606,NA,49/62,Q4,21.77,0,0.093,0.284,23.15,Q4,Q4,0,NA,5.2,NA,0
Advances in Electrical and Computer Engineering,ADV ELECTR COMPUT EN,1582-7445,1844-7600,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",435,0.825,0.23,91.78%,138/145,0.752,Q4,0.722,0.184,163/190,Q4,14.47,0,0.059,0.101,5.17,Q4,Q4,49,100%,5.7,6.4,49
IET Cyber-Physical Systems: Theory & Applications,IET CYBER PHYS SYST,NA,2398-3396,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",433,NA,0.44,95.58%,NA,NA,NA,NA,NA,158/246,Q3,35.98,0.001,0.175,0.587,NA,NA,Q1,26,96.15%,3.4,5.7,25
NEW GENERATION COMPUTING,NEW GENERAT COMPUT,0288-3635,1882-7055,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",432,1.18,0.33,26.97%,50/54,1.132,Q4,1.18,1.75,55/62,Q4,12.1,0,0.071,0.304,8.33,Q4,Q4,28,96.43%,9.1,4.3,27
Australasian Journal of Information Systems,AUSTRALAS J INF SYST,1449-8618,1326-2238,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",427,NA,0.37,65.09%,NA,NA,NA,NA,NA,179/246,Q3,27.44,0,0.105,0.33,NA,NA,Q2,32,100%,4.4,8.2,32
Information and Computer Security,INF COMPUT SECUR,2056-4961,2056-4961,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",420,NA,0.4,4.69%,NA,NA,NA,NA,NA,173/246,Q3,29.88,0.001,0.109,0.307,NA,NA,Q2,53,96.23%,3.8,7.5,51
ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,1556-4665,1556-4703,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",419,1.913,0.48,0%,108/145,2.09,Q3,1.87,0.667,115/190,Q3,39.74,0,0.078,0.427,25.86,Q3,Q3,9,88.89%,6.4,7.2,8
Data Science and Engineering,DATA SCI ENG,2364-1185,2364-1541,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",419,NA,0.92,98.8%,NA,NA,NA,NA,NA,79/246,Q2,68.09,0.001,0.226,0.908,NA,NA,Q1,30,96.67%,2.9,6,29
Big Earth Data,BIG EARTH DATA,2096-4471,2574-5417,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",417,NA,0.84,100%,NA,NA,NA,NA,NA,92/246,Q2,62.8,0.001,0.167,1.119,NA,NA,Q1,45,91.11%,2.8,4.8,41
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM T ASIAN LOW-RESO,2375-4699,2375-4702,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",413,1.471,0.28,0.83%,123/145,1.507,Q4,1.316,0.519,156/190,Q4,18.16,0.001,0.114,0.244,15.52,Q4,Q4,106,99.06%,2.4,6.3,105
International Journal of Network Management,INT J NETW MANAG,1055-7148,1099-1190,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",411,1.914,0.44,7.5%,126/164,1.571,Q4,1.815,0.205,158/246,Q3,35.98,0,0.078,0.21,23.48,Q4,Q4,39,97.44%,3.7,5,38
International Journal of Web and Grid Services,INT J WEB GRID SERV,1741-1106,1741-1114,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",408,0.825,1.6,0%,156/164,3.52,Q2,0.775,0.316,25/246,Q1,90.04,0.001,0.123,0.603,5.18,Q4,Q2,19,100%,3.6,5.5,19
Information Security Journal,INF SECUR J,1939-3555,1939-3547,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",403,NA,0.42,1.82%,NA,NA,NA,NA,NA,165/246,Q3,33.13,0,0.072,0.325,NA,NA,Q2,63,92.06%,5.3,5.7,58
Applied System Innovation,APPL SYST INNOV,NA,2571-5577,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",398,NA,0.42,98.4%,NA,NA,NA,NA,NA,165/246,Q3,33.13,0,0.089,0.307,NA,NA,Q2,96,92.71%,1.6,5.1,89
International Journal of Multimedia Information Retrieval,INT J MULTIMED INF R,2192-6611,2192-662X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",398,2.553,0.75,14.04%,89/145,3.172,Q3,2.447,0.421,78/190,Q2,59.21,0.001,0.127,0.63,38.97,Q3,Q3,19,89.47%,3.6,5.2,17
Machine Learning and Knowledge Extraction,MACH LEARN KNOW EXTR,NA,2504-4990,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",395,NA,0.64,98.57%,NA,NA,NA,NA,NA,87/190,Q2,54.47,0.001,0.142,0.733,NA,NA,Q1,45,91.11%,2.3,5.2,41
Advances in Fuzzy Systems,ADV FUZZY SYST,1687-7101,1687-711X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",392,NA,0.56,98.11%,NA,NA,NA,NA,NA,99/190,Q3,48.16,0,0.078,0.304,NA,NA,Q3,15,100%,5.1,10,15
IEEE Embedded Systems Letters,IEEE EMBED SYST LETT,1943-0663,1943-0671,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",392,1.524,0.53,5.08%,43/54,1.589,Q4,1.444,0.4,38/62,Q3,39.52,0,0.085,0.285,21.3,Q4,Q4,55,100%,4.3,6,55
Neural Network World,NEURAL NETW WORLD,1210-0552,NA,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",383,1.304,0.22,0%,126/145,1.214,Q4,1.065,0.115,165/190,Q4,13.42,0,0.047,0.158,13.45,Q4,Q4,26,100%,6.5,6.2,26
Applied Computational Intelligence and Soft Computing,APPL COMPUT INTELL S,1687-9724,1687-9732,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",377,NA,0.44,100%,NA,NA,NA,NA,NA,123/190,Q3,35.53,0,0.068,0.41,NA,NA,Q2,33,90.91%,5.1,6,30
Advances in Human-Computer Interaction,ADV HUM-COMPUT INTER,1687-5893,1687-5907,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",369,NA,0.38,97.56%,NA,NA,NA,NA,NA,135/190,Q3,29.21,0,0.054,0.397,NA,NA,Q2,16,81.25%,7.6,7.7,13
COMPUTING AND INFORMATICS,COMPUT INFORM,1335-9150,1335-9150,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",366,0.455,0.11,0%,144/145,0.502,Q4,0.427,0.224,184/190,Q4,3.42,0,0.046,0.076,1.03,Q4,Q4,58,98.28%,6.7,8.1,57
DISTRIBUTED AND PARALLEL DATABASES,DISTRIB PARALLEL DAT,0926-8782,1573-7578,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",366,0.974,0.31,11.11%,150/164,1.143,Q4,0.961,0.184,192/246,Q4,22.15,0,0.06,0.222,8.84,Q4,Q4,49,100%,6.8,5.6,49
Visual Informatics,VIS INFORM,2468-502X,2468-502X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",360,NA,0.75,100%,NA,NA,NA,NA,NA,105/246,Q2,57.52,0.001,0.237,1.473,NA,NA,Q1,32,84.38%,3.3,6.1,27
International Journal on Semantic Web and Information Systems,INT J SEMANT WEB INF,1552-6283,1552-6291,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",357,1.478,0.27,0%,122/145,1.248,Q4,1.435,0.636,158/190,Q4,17.11,0,0.047,0.183,16.21,Q4,Q4,11,90.91%,7.3,6.6,10
Computacion y Sistemas,COMPUT SIST,1405-5546,2007-9737,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",352,NA,0.1,0%,NA,NA,NA,NA,NA,242/246,Q4,1.83,0,0.081,0.078,NA,NA,Q4,61,95.08%,3.9,6.5,58
Frontiers in Big Data,FRONT BIG DATA,NA,2624-909X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",352,NA,0.51,99.03%,NA,NA,NA,NA,NA,146/246,Q3,40.85,0.001,0.209,1.034,NA,NA,Q1,111,93.69%,2.1,5.7,104
JOURNAL OF DATABASE MANAGEMENT,J DATABASE MANAGE,1063-8016,1533-8010,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",350,2.656,0.46,0%,102/164,1.932,Q4,1.969,0.35,155/246,Q3,37.2,0,0.037,0.247,38.11,Q3,Q4,20,95%,8.8,5.4,19
International Journal of Ad Hoc and Ubiquitous Computing,INT J AD HOC UBIQ CO,1743-8225,1743-8233,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",346,0.773,0.21,0%,158/164,0.616,Q4,0.731,0.15,212/246,Q4,14.02,0,0.055,0.089,3.96,Q4,Q4,60,100%,5.2,5.1,60
BELL LABS TECHNICAL JOURNAL,BELL LABS TECH J,1089-7089,1538-7305,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",340,0,0.03,0%,164/164,1.2,Q4,0,NA,245/246,Q4,0.61,0,0.002,0.171,0.3,Q4,Q4,NA,NA,11,NA,NA
CONSTRAINTS,CONSTRAINTS,1383-7133,1572-9354,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",332,0.583,0.41,19.23%,143/145,1.591,Q4,0.542,0.5,129/190,Q3,32.37,0,0.105,0.587,1.72,Q4,Q3,2,100%,8.8,16,2
INFORMATION TECHNOLOGY AND LIBRARIES,INFORM TECHNOL LIBR,0730-9295,2163-5226,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",328,1.685,0.32,97.56%,136/164,1.408,Q4,1.481,0.179,189/246,Q4,23.37,0,0.08,0.382,17.38,Q4,Q3,28,100%,6.6,6.7,28
IET Computers and Digital Techniques,IET COMPUT DIGIT TEC,1751-8601,1751-861X,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",327,0.906,0.24,25.98%,53/54,0.876,Q4,0.854,0.161,58/62,Q4,7.26,0,0.067,0.171,2.78,Q4,Q4,31,96.77%,5.4,6.1,30
Information Technology and Control,INF TECHNOL CONTROL,1392-124X,NA,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",326,0.813,0.23,98.65%,139/145,0.87,Q4,0.667,0.173,163/190,Q4,14.47,0,0.058,0.123,4.48,Q4,Q4,52,98.08%,4.2,5.9,51
Journal of Artificial Intelligence and Soft Computing Research,J ARTIF INTELL SOFT,2083-2567,2449-6499,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",325,2.675,0.79,100%,87/145,2.23,Q3,2.3,0.48,75/190,Q2,60.79,0,0.075,0.367,40.34,Q3,Q4,25,100%,4.1,8.3,25
ACM Transactions on Privacy and Security,ACM T PRIV SECUR,2471-2566,2471-2574,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",316,2.717,0.96,0%,98/164,3.117,Q3,2.696,0.71,72/246,Q2,70.93,0.001,0.136,0.707,40.55,Q3,Q2,31,100%,3.1,7.6,31
IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,IEEE J EXPLOR SOLID-,2329-9231,2329-9231,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - ESCI",309,NA,0.63,100%,NA,NA,NA,NA,NA,34/62,Q3,45.97,0,0.099,0.645,NA,NA,Q2,28,100%,3.2,3.9,28
Communications in Mathematical Biology and Neuroscience,COMMUN MATH BIOL NEU,2052-2541,2052-2541,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",303,NA,0.42,98.82%,NA,NA,NA,NA,NA,165/246,Q3,33.13,0,0.097,0.332,NA,NA,Q2,94,98.94%,1.9,6.5,93
Applied Ontology,APPL ONTOL,1570-5838,1875-8533,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",300,1.367,0.32,6.38%,124/145,1.271,Q4,1.1,0.176,147/190,Q4,22.89,0,0.04,0.279,14.83,Q4,Q4,17,88.24%,6.9,9.5,15
Communications in Information and Systems,COMMUN INF SYST,1526-7555,2163-4548,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",293,NA,0.2,0%,NA,NA,NA,NA,NA,218/246,Q4,11.59,0,0.045,0.29,NA,NA,Q2,25,100%,15.1,11,25
International Journal of Embedded Systems,INT J EMBED SYST,1741-1068,1741-1076,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - ESCI",293,NA,0.21,0%,NA,NA,NA,NA,NA,59/62,Q4,5.65,0,0.058,0.086,NA,NA,Q4,58,98.28%,2.9,6.3,57
Ad Hoc & Sensor Wireless Networks,AD HOC SENS WIREL NE,1551-9899,1552-0633,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",292,0.4,0.17,0%,163/164,0.5,Q4,0.28,0.296,225/246,Q4,8.74,0,0.033,0.065,0.91,Q4,Q4,27,100%,6.3,6.9,27
International Journal of Communication Networks and Distributed Systems,INT J COMMUN NETW DI,1754-3916,1754-3924,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",287,NA,0.28,0.82%,NA,NA,NA,NA,NA,195/246,Q4,20.93,0,0.025,0.056,NA,NA,Q4,39,100%,3.5,4.8,39
ACM Journal of Data and Information Quality,ACM J DATA INF QUAL,1936-1955,1936-1955,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",279,NA,0.51,0%,NA,NA,NA,NA,NA,146/246,Q3,40.85,0,0.101,0.464,NA,NA,Q1,21,100%,3.6,7,21
Journal of Logic Language and Information,J LOGIC LANG INFORM,0925-8531,1572-9583,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",277,0.617,0.64,40.58%,142/145,0.674,Q4,0.596,0.045,87/190,Q2,54.47,0,0.063,0.357,2.41,Q4,Q4,22,100%,15.1,14.7,22
Argument & Computation,ARGUM COMPUT,1946-2166,1946-2174,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",276,NA,0.37,62.86%,NA,NA,NA,NA,NA,139/190,Q3,27.11,0,0.059,0.469,NA,NA,Q2,13,100%,7.1,9.4,13
Cybersecurity,CYBERSECURITY,2523-3246,2523-3246,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",276,NA,0.86,100%,NA,NA,NA,NA,NA,90/246,Q2,63.62,0,0.084,0.676,NA,NA,Q1,38,94.74%,2.4,5.9,36
International Journal of System Dynamics Applications,INT J SYST DYN APPL,2160-9772,2160-9799,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",257,NA,0.37,48.57%,NA,NA,NA,NA,NA,139/190,Q3,27.11,0,0.02,0.1,NA,NA,Q4,32,100%,3.3,6.1,32
Security and Privacy,SECUR PRIVACY,2475-6725,2475-6725,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",245,NA,0.46,7.03%,NA,NA,NA,NA,NA,155/246,Q3,37.2,0,0.073,0.387,NA,NA,Q2,68,95.59%,2.8,5.3,65
Inteligencia Artificial-Iberoamerical Journal of Artificial Intelligence,INTELIGENCIA ARTIFIC,1137-3601,1988-3064,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",241,NA,0.13,80.65%,NA,NA,NA,NA,NA,177/190,Q4,7.11,0,0.098,NA,NA,NA,NA,21,100%,3.5,6.3,21
Cryptography,CRYPTOGRAPHY-BASEL,NA,2410-387X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",234,NA,0.47,91.92%,NA,NA,NA,NA,NA,152/246,Q3,38.41,0,0.085,0.405,NA,NA,Q2,37,97.3%,3.1,7.1,36
Frontiers in Blockchain,FRONT BLOCKCHAIN,2624-7852,2624-7852,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",232,NA,0.47,99.22%,NA,NA,NA,NA,NA,152/246,Q3,38.41,0,0.08,NA,NA,NA,NA,50,86%,1.7,3.9,43
